,polarity,subjectivity,neg,neu,pos,compound
0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.04999999999999999,0.25,0.24,0.62,0.14,-0.3818
2,-0.4,0.6,0.412,0.588,0.0,-0.5423
3,0.0,0.0,0.429,0.571,0.0,-0.4588
4,-0.3,0.4,0.592,0.408,0.0,-0.4404
5,0.35,0.55,0.274,0.609,0.117,-0.5571
6,0.15,0.7333333333333334,0.074,0.698,0.228,0.6114
7,0.5666666666666667,0.5333333333333333,0.0,0.737,0.263,0.6124
8,0.3333333333333333,0.6666666666666666,0.355,0.414,0.231,-0.2732
9,0.0,0.0,0.0,0.581,0.419,0.7579
10,0.0,0.0,0.0,1.0,0.0,0.0
11,0.30234375,0.7940972222222222,0.226,0.682,0.092,-0.5145
12,0.0,0.3,0.0,0.87,0.13,0.2732
13,0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0
14,-0.024999999999999994,0.35625,0.201,0.606,0.193,-0.0316
15,-0.2,0.8,0.545,0.455,0.0,-0.7184
16,0.0,0.0,0.0,0.149,0.851,0.6908
17,-0.6,0.8,0.767,0.233,0.0,-0.5095
18,0.0,0.0,0.0,0.667,0.333,0.3612
19,0.4,0.375,0.0,0.709,0.291,0.6249
20,0.125,0.1875,0.0,1.0,0.0,0.0
21,0.3125,0.75,0.27,0.492,0.238,-0.1027
22,0.0,0.0,0.0,1.0,0.0,0.0
23,-0.15555555555555559,0.2888888888888889,0.0,1.0,0.0,0.0
24,0.0,0.0,0.0,1.0,0.0,0.0
25,-0.7999999999999999,1.0,1.0,0.0,0.0,-0.8885
26,0.025,0.675,0.0,1.0,0.0,0.0
27,0.1,0.4,0.258,0.323,0.419,0.25
28,0.26666666666666666,0.43333333333333335,0.0,0.0,1.0,0.7783
29,-0.05454545454545454,0.38484848484848483,0.0,1.0,0.0,0.0
30,-0.39999999999999997,0.8666666666666667,0.401,0.427,0.172,-0.7884
31,0.08333333333333333,0.7777777777777778,0.128,0.872,0.0,-0.296
32,0.0,0.0,0.333,0.667,0.0,-0.4574
33,0.033333333333333326,0.39999999999999997,0.276,0.551,0.173,-0.3182
34,0.0,0.0,0.0,1.0,0.0,0.0
35,0.65,0.8125,0.0,0.385,0.615,0.7506
36,0.056666666666666664,0.54,0.0,1.0,0.0,0.0
37,0.5,1.0,0.0,0.727,0.273,0.128
38,0.01666666666666668,0.9296296296296296,0.082,0.759,0.158,0.2023
39,-0.15555555555555559,0.2888888888888889,0.0,1.0,0.0,0.0
40,0.3125,0.2,0.0,0.244,0.756,0.7339
41,0.375,0.4,0.0,0.351,0.649,0.8122
42,0.0,0.3,0.247,0.753,0.0,-0.5574
43,0.18,0.51,0.102,0.656,0.242,0.5267
